player,team_name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Stefan Târnovanu,FCSB,ro ROU,GK,24,31,31,"2,790",31,0,0,0,0,0,0,2,0,0,0,0,0,0
Joyskim Dawa,FCSB,cm CMR,DF,28,27,26,"2,324",25,1,0,1,1,0,0,10,2,0,0,0,0,0
Adrian Șut,FCSB,ro ROU,MF,25,24,23,"2,016",22,1,5,6,1,0,0,6,1,0,0,0,0,0
Valentin Crețu,FCSB,ro ROU,DF,36,29,22,"2,093",23,1,3,4,1,0,0,5,0,0,0,0,0,0
Risto Radunović,FCSB,me MNE,DF,32,24,20,"1,915",21,1,6,7,1,0,1,6,0,0,0,0,0,0
Florin Tănase,FCSB,ro ROU,"MF,FW",30,21,17,"1,458",16,4,2,6,2,2,2,5,1,0,0,0,0,0
Marius Ştefănescu,FCSB,ro ROU,"MF,FW",26,24,17,"1,188",13,1,3,4,1,0,0,0,0,0,0,0,0,0
Mihai Popescu,FCSB,ro ROU,DF,31,18,16,"1,431",15,0,1,1,0,0,0,2,1,0,0,0,0,0
Siyabonga Ngezana,FCSB,za RSA,DF,27,17,16,"1,304",14,1,0,1,1,0,0,5,1,0,0,0,0,0
Daniel Birligea,FCSB,ro ROU,FW,24,18,15,"1,340",14,11,1,12,11,0,0,3,0,0,0,0,0,0
David Miculescu,FCSB,ro ROU,"MF,FW",23,31,14,"1,492",16,5,1,6,5,0,0,2,0,0,0,0,0,0
Darius Olaru,FCSB,ro ROU,MF,27,16,14,"1,175",13,8,3,11,6,2,3,3,1,0,0,0,0,0
Alexandru Băluță,FCSB,ro ROU,"MF,FW",31,25,14,"1,163",12,3,2,5,3,0,1,1,0,0,0,0,0,0
Vlad Chiricheș,FCSB,ro ROU,"MF,DF",35,18,13,"1,229",13,0,0,0,0,0,0,5,0,0,0,0,0,0
Malcolm Edjouma,FCSB,fr FRA,MF,28,21,9,835,9,0,0,0,0,0,0,3,0,0,0,0,0,0
Baba Alhassan,FCSB,gh GHA,MF,25,23,8,"1,017",11,2,0,2,2,0,0,4,1,0,0,0,0,0
Daniel Popa,FCSB,ro ROU,"FW,MF",30,15,8,665,7,0,1,1,0,0,0,1,0,0,0,0,0,0
Octavian-George Popescu,FCSB,ro ROU,"MF,FW",22,11,8,621,6,2,1,3,2,0,0,2,0,0,0,0,0,0
Ionuț Panțîru,FCSB,ro ROU,DF,29,8,8,611,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Musi,FCSB,ro ROU,"MF,FW",20,20,7,932,10,3,1,4,3,0,0,1,0,0,0,0,0,0
Juri Cisotti,FCSB,it ITA,MF,31,9,7,647,7,1,2,3,1,0,0,3,0,0,0,0,0,0
Andrei Gheorghiță,FCSB,ro ROU,"MF,FW",22,7,7,374,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Alexandru Pantea,FCSB,ro ROU,DF,21,8,6,407,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Mihai Lixandru,FCSB,ro ROU,MF,23,7,6,383,4,1,0,1,1,0,0,0,0,0,0,0,0,0
Mihai Toma,FCSB,ro ROU,"FW,MF",18,10,5,552,6,0,1,1,0,0,0,1,0,0,0,0,0,0
David Kiki,FCSB,bj BEN,DF,31,4,4,354,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nana Kwame Antwi,FCSB,gh GHA,DF,24,4,3,245,2,0,0,0,0,0,0,1,0,0,0,0,0,0
William Baeten,FCSB,be BEL,MF,28,9,2,280,3,0,0,0,0,0,0,1,0,0,0,0,0,0
